Date, A, B
14-04-2020 18:10, 0, 1
14-04-2020 18:18, 1, 0
14-04-2020 18:28, 0, 1
14-04-2020 18:38, 0, 1
14-04-2020 18:43, 0, 1
14-04-2020 18:53, 0.5, 0.5
14-04-2020 18:58, 0, 1
14-04-2020 19:07, 1, 0
14-04-2020 19:12, 1, 0
15-04-2020 16:25, 1, 0
15-04-2020 16:36, 1, 0
15-04-2020 16:47, 0, 1
15-04-2020 16:52, 1, 0
15-04-2020 17:06, 1, 0
23-04-2020 16:54, 0, 1
23-04-2020 17:04, 0, 1
23-04-2020 17:13, 1, 0
23-04-2020 17:20, 1, 0
23-04-2020 17:30, 0, 1
23-04-2020 17:41, 0, 1
23-04-2020 17:53, 0.5, 0.5
23-04-2020 18:05, 0, 1
23-04-2020 18:08, 0, 1
23-04-2020 18:18, 1, 0
23-04-2020 18:28, 0, 1
23-04-2020 18:37, 0.5, 0.5
23-04-2020 18:48, 0, 1
23-04-2020 18:59, 1, 0
23-04-2020 19:10, 1, 0
23-04-2020 19:14, 0, 1
23-04-2020 19:21, 0, 1
23-04-2020 19:29, 1, 0
23-04-2020 19:42, 0.5, 0.5
23-04-2020 19:50, 0, 1
23-04-2020 20:01, 0, 1
05-05-2020 16:27, 1, 0
05-05-2020 16:38, 1, 0
05-05-2020 16:50, 0, 1
05-05-2020 17:01, 1, 0
05-05-2020 17:17, 0, 1
05-05-2020 17:28, 1, 0
05-05-2020 17:33, 0, 1
05-05-2020 17:42, 0, 1
05-05-2020 17:52, 1, 0
05-05-2020 18:03, 1, 0
05-05-2020 18:17, 0, 1
05-05-2020 18:25, 0, 1
05-05-2020 18:45, 0, 1
05-05-2020 18:55, 1, 0
05-05-2020 19:08, 0, 1
05-05-2020 19:18, 1, 0
05-05-2020 19:27, 0, 1
05-05-2020 19:36, 0, 1
05-05-2020 19:43, 1, 0
05-05-2020 19:52, 0, 1
15-05-2020 17:07, 1, 0
15-05-2020 17:17, 0, 1
15-05-2020 17:31, 0, 1
15-05-2020 18:35, 1, 0
15-05-2020 18:47, 1, 0
15-05-2020 19:01, 1, 0
15-05-2020 19:12, 0, 1
15-05-2020 19:20, 0, 1
15-05-2020 19:30, 0.5, 0.5
15-05-2020 19:42, 0, 1
15-05-2020 19:53, 0.5, 0.5
15-05-2020 20:08, 0, 1
15-05-2020 20:17, 0, 1
15-05-2020 20:27, 1, 0
15-05-2020 20:34, 1, 0
15-05-2020 20:46, 0, 1
15-05-2020 20:59, 0, 1
15-05-2020 21:14, 1, 0
15-05-2020 21:18, 1, 0
15-05-2020 21:35, 0, 1
15-05-2020 21:41, 1, 0
27-05-2020 14:55, 0, 1
27-05-2020 15:06, 0, 1
27-05-2020 15:17, 0, 1
27-05-2020 15:27, 0.5, 0.5
27-05-2020 15:38, 0.5, 0.5
27-05-2020 17:00, 1, 0
27-05-2020 17:14, 0, 1
27-05-2020 17:22, 0, 1
27-05-2020 17:34, 0, 1
29-05-2020 17:27, 1, 0
29-05-2020 17:37, 1, 0
29-05-2020 17:49, 0, 1
29-05-2020 18:00, 1, 0
29-05-2020 18:08, 0, 1
29-05-2020 18:18, 0, 1
29-05-2020 18:25, 1, 0
29-05-2020 18:32, 0, 1
29-05-2020 18:44, 0, 1
29-05-2020 18:53, 1, 0
29-05-2020 19:03, 0.5, 0.5
29-05-2020 19:11, 1, 0
29-05-2020 19:15, 1, 0
29-05-2020 19:27, 1, 0
29-05-2020 19:39, 1, 0
29-05-2020 19:48, 0, 1
29-05-2020 19:57, 0, 1
29-05-2020 20:02, 0, 1
29-05-2020 20:13, 0.5, 0.5
29-05-2020 20:17, 1, 0
08-06-2020 17:44, 1, 0
08-06-2020 18:03, 0, 1
08-06-2020 18:13, 1, 0
08-06-2020 18:22, 0, 1
08-06-2020 18:27, 1, 0
08-06-2020 18:38, 0, 1
08-06-2020 18:47, 1, 0
08-06-2020 18:51, 0, 1
08-06-2020 19:00, 1, 0
08-06-2020 19:05, 0, 1
08-06-2020 19:48, 0, 1
08-06-2020 19:52, 1, 0
08-06-2020 19:57, 0, 1
08-06-2020 20:08, 1, 0
08-06-2020 20:17, 1, 0
08-06-2020 20:27, 0, 1
12-06-2020 17:42, 1, 0
12-06-2020 17:56, 1, 0
12-06-2020 18:08, 0.5, 0.5
12-06-2020 18:19, 1, 0
12-06-2020 18:25, 0, 1
12-06-2020 18:30, 0, 1
12-06-2020 18:36, 1, 0
12-06-2020 18:44, 1, 0
