Date, A, B
06-09-2018 10:10, 1, 0
06-09-2018 10:55, 0, 1
11-11-2018 18:32, 0, 1
11-11-2018 18:49, 1, 0
04-03-2019 12:20, 0, 1
04-03-2019 12:20, 1, 0
10-03-2019 14:55, 0, 1
10-03-2019 14:55, 1, 0
10-03-2019 17:56, 1, 0
10-03-2019 17:56, 1, 0
28-12-2019 17:10, 1, 0
